신장,체중
145,45
170,60
155,55
165,55
165,65
155,60
165,65
150,55
165,45
160,65
170,70
150,50
160,75
170,60
145,50
150,45
155,45
145,65
165,70
170,65
160,55
145,55
170,50
175,85
155,60
150,50
170,75
150,65
165,60
160,50
155,60
150,45
170,85
155,50
160,55
165,65
145,55
175,85
165,70
160,60
160,55
165,65
165,75
165,60
150,50
170,85
155,55
165,55
150,40
165,55
160,55
170,90
155,65
155,65
160,55
150,50
175,65
160,70
150,70
170,70
150,55
175,75
170,75
160,60
160,55
155,60
170,70
145,50
160,60
160,60
170,65
170,50
165,80
155,55
170,65
150,50
155,55
155,45
160,55
170,55
160,65
155,65
150,70
165,65
145,55
155,60
160,65
170,70
155,50
155,55
160,50
155,50
170,80
150,55
160,45
170,80
180,85
170,60
165,60
170,60
155,50
165,70
145,45
175,75
170,80
160,60
175,90
170,65
170,75
165,60
180,85
155,45
170,70
170,70
165,75
175,60
170,85
165,55
155,75
170,65
155,65
170,95
160,65
165,55
150,55
155,55
170,60
165,55
150,55
150,50
155,50
165,65
155,55
175,70
150,50
160,55
155,60
155,55
170,55
150,60
160,50
170,75
170,75
175,90
160,65
175,70
145,45
160,55
160,60
165,70
155,70
155,50
175,75
170,50
170,65
170,65
155,45
180,75
150,60
155,55
150,45
160,75
155,60
170,60
170,60
150,60
165,65
165,55
160,65
165,65
165,70
160,60
165,50
155,65
165,70
160,55
160,70
150,45
170,70
155,45
160,60
150,50
160,60
170,80
155,50
170,65
165,80
150,80
165,65
170,65
170,75
145,65
150,50
140,45
170,75
155,65
180,80
165,65
170,110
165,70
175,80
160,50
180,85
155,75
160,50
150,55
155,50
170,75
175,80
175,75
165,70
180,95
175,85
160,55
170,70
155,70
165,65
150,65
170,65
160,50
135,40
150,55
170,70
145,45
165,55
150,50
150,45
160,60
150,50
155,55
160,40
150,45
150,45
165,60
165,60
175,60
165,55
160,60
160,50
175,65
150,55
180,85
165,65
170,85
165,60
170,65
165,60
170,70
165,65
160,60
160,45
165,65
140,50
155,45
150,45
155,55
165,60
160,80
175,70
150,55
155,55
170,65
160,50
165,65
155,70
160,60
175,55
170,75
160,45
150,60
170,75
175,90
160,60
185,100
155,55
165,60
165,65
175,55
145,50
165,70
170,70
160,65
160,55
155,50
170,70
160,50
160,60
170,90
180,65
175,70
160,60
160,60
165,65
165,55
175,85
170,60
165,60
150,45
170,55
160,60
160,40
160,60
155,55
155,65
170,70
175,70
155,65
165,60
180,80
185,70
175,70
165,65
175,65
175,85
165,60
165,70
175,80
170,70
160,80
175,80
150,50
165,90
160,60
175,90
160,50
145,45
170,65
165,60
170,85
155,55
165,65
155,50
170,70
155,55
160,50
175,70
160,55
145,65
165,65
160,70
160,50
160,65
160,45
155,45
150,45
155,40
155,55
170,70
165,50
160,55
155,70
155,45
145,55
155,55
180,70
150,45
150,60
165,70
150,55
155,40
160,45
170,95
155,55
170,70
170,55
170,55
180,70
150,60
170,75
155,50
165,80
145,40
160,60
175,75
160,80
170,70
160,45
165,70
180,80
160,65
150,60
160,45
175,80
160,45
155,55
155,60
155,75
165,60
165,65
180,85
145,50
165,60
160,50
150,50
165,50
155,55
160,55
175,80
165,75
155,60
175,60
185,75
165,70
150,50
155,60
155,70
155,55
155,65
170,55
175,70
160,55
160,50
155,60
170,70
150,55
180,75
155,60
160,50
165,65
165,55
150,55
170,70
175,75
180,70
135,35
165,80
155,75
170,70
160,75
160,75
170,60
150,60
170,85
180,85
165,60
150,55
165,80
155,50
160,55
165,65
170,65
170,80
155,45
155,45
160,50
145,55
165,55
165,65
165,75
175,75
155,45
155,55
170,75
175,95
165,50
165,50
160,60
150,55
145,40
160,65
150,60
160,50
170,75
175,95
160,55
165,65
170,65
175,65
160,50
150,50
175,75
160,65
150,60
185,80
145,50
160,55
160,60
150,45
155,50
160,50
170,60
165,65
170,75
160,55
170,55
140,45
150,65
170,65
165,70
160,70
165,65
160,55
145,40
175,85
170,60
155,50
165,55
175,70
160,65
155,65
170,90
175,55
165,60
155,50
160,55
160,60
155,65
155,60
170,75
170,70
155,45
160,70
155,50
155,50
175,70
165,55
175,70
170,70
150,50
150,55
160,50
160,50
180,75
155,55
170,95
160,60
150,45
155,50
165,65
165,60
170,65
160,50
175,75
180,85
165,70
160,50
170,70
175,70
165,70
155,50
165,70
160,50
180,75
170,80
175,75
155,50
160,60
165,50
150,55
160,50
150,55
165,65
160,55
180,85
145,45
160,60
150,55
160,55
165,80
150,55
175,75
155,60
155,55
